City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,Clyde River,70.4692,-68.5914,1.63,85,100,19.57,CA,2022-11-17 01:27:44
98,Conde,-7.2597,-34.9075,78.26,78,20,3.44,BR,2022-11-17 01:31:53
99,Salalah,17.0151,54.0924,73.49,64,0,4.61,OM,2022-11-17 01:31:54
100,Slave Lake,55.2834,-114.769,17.58,67,40,14.97,CA,2022-11-17 01:31:54
101,Nikolskoye,59.7035,30.7861,33.69,91,100,7.34,RU,2022-11-17 01:31:54
102,Kaitangata,-46.2817,169.8464,58.89,77,90,7.31,NZ,2022-11-17 01:31:55
103,Russell,32.3502,-85.1999,47.8,66,0,4.61,US,2022-11-17 01:31:55
104,Lebu,-37.6167,-73.65,56.01,94,43,8.41,CL,2022-11-17 01:31:55
105,Hermanus,-34.4187,19.2345,51.8,72,99,4.59,ZA,2022-11-17 01:31:56
106,Beringovskiy,63.05,179.3167,31.55,95,100,3.83,RU,2022-11-17 01:31:56
107,Masuda,34.6667,131.85,55.67,67,75,8.05,JP,2022-11-17 01:31:56
108,Nhulunbuy,-12.2333,136.7667,90.21,58,75,5.75,AU,2022-11-17 01:31:57
109,Thompson,55.7435,-97.8558,15.96,86,100,13.8,CA,2022-11-17 01:31:57
110,Paamiut,61.994,-49.6678,11.48,80,49,9.28,GL,2022-11-17 01:31:58
111,Basco,20.4487,121.9702,80.87,71,6,16.55,PH,2022-11-17 01:31:45
112,Krasnyy Yar,46.5331,48.3456,39.13,84,100,11.16,RU,2022-11-17 01:31:58
113,Upernavik,72.7868,-56.1549,11.62,93,99,13.87,GL,2022-11-17 01:30:36
114,Khromtau,50.2503,58.4347,22.12,92,100,6.98,KZ,2022-11-17 01:31:59
115,Souillac,-20.5167,57.5167,70.18,78,40,3.44,MU,2022-11-17 01:31:59
116,Khatanga,71.9667,102.5,-30.39,100,94,5.23,RU,2022-11-17 01:31:59
117,Saint-Ambroise,48.5501,-71.3324,25.34,95,100,3.18,CA,2022-11-17 01:30:24
118,Saskylakh,71.9167,114.0833,-24.57,98,100,4.65,RU,2022-11-17 01:32:00
119,Norman Wells,65.282,-126.8329,-0.36,85,40,0.0,CA,2022-11-17 01:32:00
120,Divnogorsk,55.9594,92.3619,30.74,86,100,12.68,RU,2022-11-17 01:32:00
121,Dikson,73.5069,80.5464,1.38,94,100,16.91,RU,2022-11-17 01:30:42
122,Devonport,-41.1667,146.35,62.1,52,49,7.83,AU,2022-11-17 01:32:01
123,Shenzhen,22.5455,114.0683,78.85,84,82,4.85,CN,2022-11-17 01:31:47
124,Hithadhoo,-0.6,73.0833,80.85,77,100,10.74,MV,2022-11-17 01:32:02
125,Linjiang,41.8069,126.9078,43.21,41,9,2.95,CN,2022-11-17 01:32:02
126,Katsuura,35.1333,140.3,61.05,67,91,15.37,JP,2022-11-17 01:31:49
127,Avarua,-21.2078,-159.775,78.85,65,68,16.11,CK,2022-11-17 01:32:02
128,Cananeia,-25.0147,-47.9267,66.97,85,0,1.3,BR,2022-11-17 01:32:03
129,Luba,3.4568,8.5547,78.69,84,34,7.16,GQ,2022-11-17 01:32:03
130,Develi,38.3906,35.4922,27.75,88,50,4.38,TR,2022-11-17 01:32:04
131,Chuy,-33.6971,-53.4616,60.76,83,0,5.23,UY,2022-11-17 01:32:04
132,Hareid,62.3714,6.0263,51.73,42,99,5.68,NO,2022-11-17 01:32:04
133,Castro,-24.7911,-50.0119,56.77,86,0,6.24,BR,2022-11-17 01:29:23
134,Geraldton,-28.7667,114.6,61.21,82,75,11.5,AU,2022-11-17 01:32:05
135,Aquiraz,-3.9014,-38.3911,80.69,74,26,11.12,BR,2022-11-17 01:32:05
136,Acapulco,16.8634,-99.8901,82.22,78,75,3.44,MX,2022-11-17 01:28:26
137,Esperance,-33.8667,121.9,73.17,51,6,9.64,AU,2022-11-17 01:32:08
138,Longyearbyen,78.2186,15.6401,21.04,68,20,16.11,SJ,2022-11-17 01:32:08
139,Barrow,71.2906,-156.7887,28.42,74,0,18.41,US,2022-11-17 01:28:02
140,Yar-Sale,66.8333,70.8333,6.87,92,99,7.72,RU,2022-11-17 01:33:09
141,Tlapehuala,18.2167,-100.5167,76.55,62,1,3.36,MX,2022-11-17 01:33:09
142,Severo-Kurilsk,50.6789,156.125,35.46,62,100,5.91,RU,2022-11-17 01:29:02
143,Guerrero Negro,27.9769,-114.0611,67.39,40,0,5.5,MX,2022-11-17 01:32:52
144,Port Alfred,-33.5906,26.891,62.19,95,99,8.03,ZA,2022-11-17 01:33:10
145,Verkhnyaya Inta,65.9811,60.3094,-9.42,87,12,8.66,RU,2022-11-17 01:33:10
146,Bathsheba,13.2167,-59.5167,81.21,78,40,13.8,BB,2022-11-17 01:30:40
147,Praia Da Vitoria,38.7333,-27.0667,62.85,72,75,17.56,PT,2022-11-17 01:33:10
148,Mahebourg,-20.4081,57.7,70.09,78,40,3.44,MU,2022-11-17 01:33:11
149,Khandbari,27.3747,87.2039,60.13,72,71,0.27,NP,2022-11-17 01:33:11
150,Isangel,-19.55,169.2667,83.73,63,87,6.69,VU,2022-11-17 01:33:11
151,Menongue,-14.6585,17.691,61.48,95,94,3.85,AO,2022-11-17 01:33:12
152,Mayor Pablo Lagerenza,-19.9309,-60.7718,72.48,37,1,5.48,PY,2022-11-17 01:33:12
153,Pahrump,36.2083,-115.9839,53.65,27,0,1.01,US,2022-11-17 01:31:03
154,Georgetown,5.4112,100.3354,82.33,90,20,3.44,MY,2022-11-17 01:33:12
155,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,74.01,98,100,1.14,BR,2022-11-17 01:33:13
156,Vardo,70.3705,31.1107,35.58,48,72,12.66,NO,2022-11-17 01:33:13
157,Nishihara,26.1842,127.7558,76.66,69,75,13.8,JP,2022-11-17 01:33:14
158,Mar Del Plata,-38.0023,-57.5575,66.83,88,0,4.61,AR,2022-11-17 01:33:07
159,Maarianhamina,60.0973,19.9348,33.66,80,75,8.05,AX,2022-11-17 01:33:14
160,Dudinka,69.4058,86.1778,-34.46,100,85,0.74,RU,2022-11-17 01:33:14
161,Morondava,-20.2833,44.2833,76.75,81,4,6.38,MG,2022-11-17 01:33:15
162,Sabang,5.8933,95.3214,81.63,75,100,18.63,ID,2022-11-17 01:33:15
163,Sao Filipe,14.8961,-24.4956,77.4,69,81,0.65,CV,2022-11-17 01:33:16
164,Ozernovskiy,51.5,156.5167,33.94,59,100,6.42,RU,2022-11-17 01:33:16
165,Ponferrada,42.5466,-6.5962,58.62,92,97,1.99,ES,2022-11-17 01:33:16
166,Narsaq,60.9167,-46.05,23.22,91,50,5.73,GL,2022-11-17 01:33:17
167,La Ronge,55.1001,-105.2842,14.25,73,100,19.57,CA,2022-11-17 01:30:17
168,Hay River,60.8156,-115.7999,10.38,85,75,6.91,CA,2022-11-17 01:33:17
169,Bambanglipuro,-7.95,110.2833,84.74,69,58,3.33,ID,2022-11-17 01:33:17
170,Lieksa,63.3167,30.0167,28.81,92,47,6.78,FI,2022-11-17 01:30:16
171,Awbari,26.5921,12.7805,59.63,33,0,6.38,LY,2022-11-17 01:33:18
172,Farafangana,-22.8167,47.8333,72.91,87,99,7.38,MG,2022-11-17 01:33:18
173,Chokurdakh,70.6333,147.9167,-23.24,100,84,5.23,RU,2022-11-17 01:33:19
174,Marawi,7.9986,124.2928,71.22,89,100,1.68,PH,2022-11-17 01:33:19
175,Ponta Do Sol,32.6667,-17.1,69.71,84,84,7.0,PT,2022-11-17 01:33:20
176,Port Hardy,50.6996,-127.4199,33.98,100,40,3.44,CA,2022-11-17 01:33:06
177,Pochutla,15.7432,-96.4661,80.82,76,100,3.04,MX,2022-11-17 01:33:20
178,Kresttsy,58.2452,32.5165,29.93,96,100,5.26,RU,2022-11-17 01:33:21
179,Shache,38.4167,77.2406,38.62,35,0,7.43,CN,2022-11-17 01:33:21
180,New Norfolk,-42.7826,147.0587,59.72,50,99,1.99,AU,2022-11-17 01:33:21
181,Vondrozo,-22.8167,47.2833,65.26,95,100,1.32,MG,2022-11-17 01:33:21
182,Banyo,6.75,11.8167,68.74,48,96,3.31,CM,2022-11-17 01:33:22
183,Lagunas,-5.2269,-75.6753,69.24,99,94,1.95,PE,2022-11-17 01:33:22
184,Hanna,51.6334,-111.9018,17.85,86,100,23.0,CA,2022-11-17 01:30:07
185,Lohne,52.6667,8.2333,47.41,89,99,15.99,DE,2022-11-17 01:34:23
186,Vanavara,60.34,102.2797,12.69,96,100,2.53,RU,2022-11-17 01:34:23
